vMag,vAng,pG,qG,pLoss
1,0,-0.524920041315687,0.114812336067159,0.0181263715287512
1.02909914960554,1.46910856661648,0,0,0.018126371528778
1.05883744178666,2.85656532938842,0,0,0.0153418640502726
1.08660051767218,4.07292041120297,0,0,0.00494381983138208
1.10260085704968,4.73392432219267,0,0,0.00494381983141764
1.11874373856245,5.37593577190316,0,0,0.00182502415455515
1.12856286515197,5.76076286312264,0,0,0.0018250241545643
1.13843202320321,6.13893457559113,0,0,0.00182502415457115
1.14834992277453,6.51058997174958,0,0,0.000525849867961106
1.15368494110268,6.70801041453385,0,0,0.000400738232275439
1.06770597679981,3.10695212787188,0,0,0.0115105878771649
1.13695580824128,5.55222524364967,0,0,0.00687748330756171
1.17620540201312,6.62240487643762,0,0,0.0040075317112102
1.20636100446134,7.39823680017835,0,0,0.00122401751175505
1.22185098422823,7.78232301846054,0,0,0.00261991093942974
1.14138294487756,5.98187540307825,0,0,0.00134732282607716
1.16459849560292,6.93391552580167,0,0,0.00180919720356455
1.17250815954747,7.19629110109658,0,0,0
